X	        Y		Z		Cp
1.9340E-01	1.9637E+00	8.4973E-02	-1.1527E+00
1.7430E-01	1.9637E+00	8.1287E-02	-1.1503E+00
1.5676E-01	1.9637E+00	7.7443E-02	-1.1438E+00
1.4071E-01	1.9637E+00	7.3515E-02	-1.1340E+00
1.2609E-01	1.9637E+00	6.9566E-02	-1.1219E+00
1.1282E-01	1.9637E+00	6.5650E-02	-1.1081E+00
1.0081E-01	1.9637E+00	6.1809E-02	-1.0929E+00
8.9975E-02	1.9637E+00	5.8076E-02	-1.0769E+00
8.0229E-02	1.9637E+00	5.4476E-02	-1.0607E+00
7.1479E-02	1.9637E+00	5.1027E-02	-1.0442E+00
6.3642E-02	1.9637E+00	4.7740E-02	-1.0274E+00
5.6634E-02	1.9637E+00	4.4622E-02	-1.0107E+00
5.0378E-02	1.9637E+00	4.1675E-02	-9.9396E-01
4.4800E-02	1.9637E+00	3.8899E-02	-9.7728E-01
3.9833E-02	1.9637E+00	3.6290E-02	-9.6027E-01
3.5415E-02	1.9637E+00	3.3844E-02	-9.4273E-01
3.1487E-02	1.9637E+00	3.1553E-02	-9.2482E-01
2.7998E-02	1.9637E+00	2.9412E-02	-9.0664E-01
2.4901E-02	1.9637E+00	2.7413E-02	-8.8717E-01
2.2153E-02	1.9637E+00	2.5548E-02	-8.6750E-01
1.9714E-02	1.9637E+00	2.3809E-02	-8.4683E-01
1.7551E-02	1.9637E+00	2.2188E-02	-8.2436E-01
1.5633E-02	1.9637E+00	2.0678E-02	-7.9987E-01
1.3932E-02	1.9637E+00	1.9271E-02	-7.7623E-01
1.2422E-02	1.9637E+00	1.7962E-02	-7.5128E-01
1.1083E-02	1.9637E+00	1.6742E-02	-7.2285E-01
9.8950E-03	1.9637E+00	1.5606E-02	-6.9521E-01
8.8410E-03	1.9637E+00	1.4549E-02	-6.6526E-01
7.9040E-03	1.9637E+00	1.3563E-02	-6.3556E-01
7.0720E-03	1.9637E+00	1.2646E-02	-6.0439E-01
6.3320E-03	1.9637E+00	1.1790E-02	-5.7214E-01
5.6740E-03	1.9637E+00	1.0993E-02	-5.3934E-01
5.0890E-03	1.9637E+00	1.0250E-02	-5.0666E-01
4.5670E-03	1.9637E+00	9.5570E-03	-4.7315E-01
4.1030E-03	1.9637E+00	8.9110E-03	-4.3950E-01
3.6880E-03	1.9637E+00	8.3080E-03	-4.0753E-01
3.3180E-03	1.9637E+00	7.7450E-03	-3.7227E-01
2.9880E-03	1.9637E+00	7.2200E-03	-3.3978E-01
2.6920E-03	1.9637E+00	6.7290E-03	-3.0844E-01
2.4270E-03	1.9637E+00	6.2700E-03	-2.7555E-01
2.1900E-03	1.9637E+00	5.8410E-03	-2.4654E-01
1.9770E-03	1.9637E+00	5.4400E-03	-2.1763E-01
1.7860E-03	1.9637E+00	5.0640E-03	-1.8824E-01
1.6140E-03	1.9637E+00	4.7120E-03	-1.6145E-01
1.4590E-03	1.9637E+00	4.3820E-03	-1.3452E-01
1.3190E-03	1.9637E+00	4.0730E-03	-1.1303E-01
1.1920E-03	1.9637E+00	3.7830E-03	-8.7064E-02
1.0780E-03	1.9637E+00	3.5100E-03	-6.2745E-02
9.7400E-04	1.9637E+00	3.2530E-03	-4.0891E-02
8.8000E-04	1.9637E+00	3.0110E-03	-1.8893E-02
7.9400E-04	1.9637E+00	2.7830E-03	9.4175E-04
7.1600E-04	1.9637E+00	2.5670E-03	2.4425E-02
6.4500E-04	1.9637E+00	2.3630E-03	4.4044E-02
5.7900E-04	1.9637E+00	2.1680E-03	6.0120E-02
5.1800E-04	1.9637E+00	1.9830E-03	7.7807E-02
4.6200E-04	1.9637E+00	1.8060E-03	9.6512E-02
